word,weight
adika,5
agam,5
alhamdulillah,5
allah,5
amanah,5
anakan,5
andal,5
apas,5
awat,5
bagak,5
bagas,5
bahadur,5
bantah-bantah,5
berahi,5
bergas,5
berguna,5
berkandung,5
berkekuatan,5
bermanfaat,5
bersahaja,5
bersanggama,5
bersembahyang,5
bersengat,5
bersyukur,5
bertenaga,5
biduanda,5
bonyok,5
bumbu,5
cakep,5
campur,5
centil,5
cinta kasih,5
cute,5
daya tahan,5
dekorasi,5
dendam berahi,5
derajat,5
eco,5
efektif,5
elite,5
embel-embel,5
enak,5
eneng,5
energik,5
fav,5
gagah,5
ganjar,5
ganjaran,5
gapah,5
garing,5
gemar,5
gembira,5
gembur,5
genit,5
getas,5
golongan atas,5
good,5
happy,5
harkat,5
harum,5
jantan,5
jiawang,5
juak-juak,5
kadar,5
kasih sayang,5
kawakan,5
kece,5
kehormatan,5
kempuh,5
kenamaan,5
kepentingan,5
keperluan,5
kesabaran,5
kesohor,5
keterbukaan,5
kimah,5
kits,5
komplemen,5
kondang,5
kujarat,5
kundangan,5
lemah,5
lemas,5
lembek,5
lembik,5
lezat,5
love,5
luluh,5
lulus,5
lunak,5
makna,5
manfaat,5
manila,5
manis,5
manja,5
mantap,5
martabat,5
mau,5
memesonakan,5
memuaskan,5
mencinta,5
mengakar,5
mengawaki,5
mengganjar,5
merdu,5
muas,5
neng,5
nilai,5
nomine,5
nyamleng,5
ornamen,5
pangkat,5
pangus,5
pegah,5
pemaafan,5
pengenalan,5
perbentrokan,5
percederaan,5
perempuan cantik,5
pergeseran,5
pilihan,5
pinter,5
pokta,5
pop,5
populer,5
primadona,5
prominen,5
proud,5
punya nama,5
ramah,5
rancak,5
ranum,5
rekognisi,5
rela,5
ringan tulang,5
rupawan,5
sabar,5
salat,5
sedap,5
sekar,5
selamat,5
sembahyang,5
senang,5
seneng,5
sentosa,5
seru,5
sesambat,5
sholat,5
sing,5
sosialita,5
suplemen,5
syukur,5
tabah,5
tabah hati,5
taksiran,5
tambahan,5
tangguh,5
tasamuh,5
tenang,5
tenggang rasa,5
tepa salira,5
terawat,5
terbaik,5
terima kasih,5
terimakasih,5
terindah,5
terjamin,5
terkemuka,5
terkenal,5
terpegah,5
tersem-bunyi,5
tersohor,5
tersungging,5
tertawa,5
tongkeng,5
top,5
trengginas,5
tulus ikhlas,5
unggulan,5
abadi,4
acuh tak acuh,4
ada,4
adil,4
aduhai,4
aji,4
ajudan,4
akhlak,4
akil,4
aktual,4
alangkah,4
alih generasi,4
alim arif,4
amal,4
amalan,4
amat,4
ambisi,4
analisis,4
andil,4
aneh,4
angan-angan,4
angpau,4
animo,4
anjung,4
ansar,4
anteng,4
anyar,4
api,4
arif,4
artistik,4
asik,4
asri,4
atraktif,4
atur,4
awas,4
awet,4
ayo,4
azamat,4
bahaduri,4
bahagia,4
bajik,4
bakat,4
bakh,4
bakir,4
bakti,4
banjir,4
bekas,4
belagu,4
benang raja,4
benci,4
bentuk,4
berada,4
berakal,4
berakidah,4
beralas,4
beraras,4
beraturan,4
berbahagia,4
berbakat,4
berbusana,4
bercahaya,4
bercermin,4
berdandan,4
berdarah,4
berdaya guna,4
berdendang,4
berderajat,4
berdiam,4
berdisiplin,4
berdoa,4
berduit,4
berfaedah,4
bergamat,4
bergantung,4
bergengsi,4
bergolongan,4
berharta,4
beribadat,4
berilmu,4
berirama,4
berjasa,4
berjaya,4
berjunjungan,4
berkaca,4
berkah,4
berkategori,4
berkawal,4
berkecukupan,4
berkedudukan,4
berkegiatan,4
berkenaan,4
berkepercayaan,4
berkeras hati,4
berkhasiat,4
berkobar-kobar,4
berkualitas,4
berkuasa,4
berlaba,4
berlagak,4
berlagu,4
berlanglang,4
berlatih,4
berlevel,4
bermakna,4
bermartabat,4
bernama,4
bernyali,4
berotak tajam,4
berpakaian,4
berpatokan,4
berpatroli,4
berpedoman,4
berpegang,4
berpelajaran,4
berpengalaman,4
